time,latitude,longitude,sic
UTC,degrees_north,degrees_east,1
2022-09-16T12:00:00Z,88.5,94.5,0.96
2022-09-16T12:00:00Z,88.5,95.5,0.96
2022-09-16T12:00:00Z,88.5,96.5,0.96
2022-09-16T12:00:00Z,88.5,97.5,0.96
2022-09-16T12:00:00Z,88.5,98.5,0.96
2022-09-16T12:00:00Z,88.5,99.5,0.96
2022-09-16T12:00:00Z,88.5,100.5,0.95
2022-09-16T12:00:00Z,88.5,101.5,0.95
2022-09-16T12:00:00Z,88.5,102.5,0.95
2022-09-16T12:00:00Z,88.5,103.5,0.95
2022-09-16T12:00:00Z,88.5,104.5,0.95
2022-09-16T12:00:00Z,88.5,105.5,0.96
2022-09-16T12:00:00Z,88.5,106.5,0.96
2022-09-16T12:00:00Z,88.5,107.5,0.96
2022-09-16T12:00:00Z,88.5,108.5,0.96999997
2022-09-16T12:00:00Z,88.5,109.5,0.96999997
2022-09-16T12:00:00Z,88.5,110.5,0.96999997
2022-09-16T12:00:00Z,88.5,111.5,0.96999997
2022-09-16T12:00:00Z,88.5,112.5,0.96999997
2022-09-16T12:00:00Z,88.5,113.5,0.96
2022-09-16T12:00:00Z,88.5,114.5,0.96
2022-09-16T12:00:00Z,88.5,115.5,0.96
2022-09-16T12:00:00Z,88.5,116.5,0.96
2022-09-16T12:00:00Z,88.5,117.5,0.96999997
2022-09-16T12:00:00Z,88.5,118.5,0.96
2022-09-16T12:00:00Z,88.5,119.5,0.96
2022-09-16T12:00:00Z,88.5,120.5,0.96
2022-09-16T12:00:00Z,88.5,121.5,0.96
2022-09-16T12:00:00Z,88.5,122.5,0.96
2022-09-16T12:00:00Z,88.5,123.5,0.96
2022-09-16T12:00:00Z,88.5,124.5,0.96
2022-09-16T12:00:00Z,88.5,125.5,0.96
2022-09-16T12:00:00Z,88.5,126.5,0.96
2022-09-16T12:00:00Z,88.5,127.5,0.96
2022-09-16T12:00:00Z,88.5,128.5,0.96
2022-09-16T12:00:00Z,88.5,129.5,0.96
2022-09-16T12:00:00Z,88.5,130.5,0.96
2022-09-16T12:00:00Z,88.5,131.5,0.96
2022-09-16T12:00:00Z,88.5,132.5,0.96
2022-09-16T12:00:00Z,88.5,133.5,0.96
2022-09-16T12:00:00Z,88.5,134.5,0.96
2022-09-16T12:00:00Z,88.5,135.5,0.96
2022-09-16T12:00:00Z,88.5,136.5,0.96
2022-09-16T12:00:00Z,88.5,137.5,0.96
2022-09-16T12:00:00Z,88.5,138.5,0.96
2022-09-16T12:00:00Z,88.5,139.5,0.95
2022-09-16T12:00:00Z,88.5,140.5,0.95
2022-09-16T12:00:00Z,88.5,141.5,0.95
2022-09-16T12:00:00Z,88.5,142.5,0.95
2022-09-16T12:00:00Z,88.5,143.5,0.95
2022-09-16T12:00:00Z,88.5,144.5,0.95
2022-09-16T12:00:00Z,88.5,145.5,0.95
2022-09-16T12:00:00Z,88.5,146.5,0.95
2022-09-16T12:00:00Z,88.5,147.5,0.95
2022-09-16T12:00:00Z,88.5,148.5,0.95
2022-09-16T12:00:00Z,88.5,149.5,0.95
2022-09-16T12:00:00Z,88.5,150.5,0.95
